6.13689 15.604 15.4812
-4.65829 9.60361 17.3107
-5.56105 2.05806 15.3935
-5.55896 1.32638 13.3074
-2.16802 -3.89483 10.9045
-1.43629 -3.07079 5.69743
0.0436282 -3.82142 3.9616
0.75072 -2.58801 -2.63041
0.20157 -2.27964 -7.06705
1.95311 -1.59556 -8.24473
3.16418 -1.00731 -8.22989
1.17431 -0.485595 -7.34686
1.47786 -0.868783 -5.41467
2.31849 2.06358 -7.57959
0.192229 2.50837 -10.2667
0.450384 1.09813 -4.70242
0.523365 -1.10451 -1.31642
0.714601 -2.58204 -2.94328
0.741082 -4.14815 0.398668
0.0748704 -2.70745 -1.53665
0.722195 -2.41396 -1.42105
0.608177 -1.22844 -3.65983
0.461798 -0.467714 -5.15381
-1.1078 -0.406246 -2.14959
-1.21905 0.408315 -2.79205
